address,lendedUsd,nbOfLiquidations,usdLostToLiquidations
0x0810…04d9,401366.1379149481,0,0
0x0815…fd19,6434.70019937103,0,0
0x081c…a3fb,408.2150573107284,0,0
0x0821…0824,173.4041004604238,0,0
0x082e…0ce6,31368.59232239378,0,0
0x083b…abfb,274.0355871875332,0,0
0x0851…3dac,300.43242354177323,0,0
0x0858…1168,6202.225252934009,0,0
0x085f…d83d,1208.372599,2,131.82137271
0x0865…53b1,419809.0217507862,0,0
0x0879…7676,4901.195794599182,0,0
0x087f…9399,162.56566907773208,20,1213.1132049360249
0x088a…beca,51729.44239634126,3,3739.006954058395
0x0894…ec38,2493.828194949484,0,0
0x089e…36f1,5983.614148725463,0,0
0x08a6…51cb,5123.876116807855,0,0
0x08a6…0370,165.0978543283883,0,0
0x08bc…772b,1134.8623848829234,0,0
0x08c2…cad4,305.59613474574,0,0
0x08e2…63cd,487912.7266403128,0,0
0x08f8…a011,383.5131921583089,0,0
0x08fe…dc9f,1334.186672116035,5,1782.2016943035846
0x090e…00b4,87704.14422933871,1,1532.080656225
0x090e…dc18,49145.42040970248,0,0
0x090f…6406,32879.678867191345,0,0
0x091d…911b,636.2742678148761,12,1418.5571418164495
0x0921…3143,177.74815341975886,5,225.299677202712
0x0922…7bf9,103.34205899999999,0,0
0x0922…1ae5,629.945511370251,5,1064.356610225367
0x0929…cd87,36998.243467,2,3982.1602705200003
0x092a…da62,231.13699605974364,0,0
0x092e…78b1,106708.77488746715,0,0
0x0937…8781,30124.33354600956,7,22565.08681732361
0x0941…45fe,529411.029510417,0,0
0x0947…fbee,359.69110292904395,0,0
0x0957…4d42,1764.3402635843483,0,0
0x095a…713d,584622.321461947,0,0
0x0963…a3bc,5960.821028404851,0,0
0x0974…cb97,19814.116400942014,0,0
0x0992…19b6,741.3559701856396,5,723.25988774105
0x0997…377f,3636.139439053325,13,397836.8740759885
0x0998…7722,166.21891889480366,1,701.911092027838
0x099a…773a,704.8028638638292,2,82.81475637969214
0x09a5…a87f,499358.954546,0,0
0x09a9…7661,3996.0805841722226,0,0
0x09ad…0293,817.1212655409012,0,0
0x09b8…1f96,362761.66340864217,0,0
0x09b9…34a3,841.142621,1,31.67493975
0x09bd…ed98,605181.6987289999,0,0
0x09c9…6907,124416.55028326818,0,0
0x09cb…0d27,89209.32391556277,0,0
0x09cf…3539,20144.53466429101,0,0
0x09d6…27b7,114.10807882018155,0,0
0x09d7…c6fd,53821.14484881014,0,0
0x09d8…4a89,102652.12014292671,0,0
0x09e7…fe6d,22585.10131071884,0,0
0x09ee…2f5d,255.40638064601671,0,0
0x09fc…fab7,25469.373684425995,0,0
0x09fd…5b9b,528.3131338508426,0,0
0x0a03…ca50,1974.851201,0,0
0x0a0d…e6c5,40451.029809427884,0,0
0x0a1a…8232,2592.040386017918,2,599.7402597763055
0x0a28…67dd,1696.3551933843846,0,0
0x0a2f…07c2,259.8572150818026,4,122.44589663250001
0x0a35…ebbc,19010.947251408772,0,0
0x0a3a…e0bf,346.69079925445317,4,224.37479559369302
0x0a44…3123,165.0978543283883,0,0
0x0a46…3beb,1045.733041536982,10,1124.6002960491599
0x0a50…514f,1839.9105876993633,3,440.65083074900224
0x0a53…dd2e,420082.52642116847,0,0
0x0a87…975d,14507.770179225188,3,4387.602029906824
0x0a8f…77f3,11409.405537723202,0,0
0x0aa5…e057,330.1957086567766,0,0
0x0ab4…ae70,155149.77872162304,0,0
0x0abb…f6d7,79534.04447,0,0
0x0abd…7e0f,378425.21511399996,0,0
0x0ad6…bcdf,792.469700776264,0,0
0x0ae6…c15f,3626919.349165151,0,0
0x0aec…e27f,412.74463582097076,0,0
0x0aed…f32c,165.0978543283883,0,0
0x0af1…c281,182021.37272753933,0,0
